"src_classLabels","mean_kDN","counts","sd_kDN","median_kDN","perm_id","model","group_sampling_id"
"ssDNA viruses",52.5806451612903,62,3.46669581948175,52.5,8,"null",-1
"ssRNA viruses",53.4032258064516,62,4.01823579842972,54,8,"null",-1
"dsDNA viruses, no RNA stage",59.1612903225806,62,3.28530532746333,59,9,"null",-1
"dsRNA viruses",50.2903225806452,62,4.10672018938568,51,9,"null",-1
"ssDNA viruses",53.3225806451613,62,3.7755650691983,53.5,9,"null",-1
"ssRNA viruses",53.3709677419355,62,3.36439345356897,54,9,"null",-1
"dsDNA viruses, no RNA stage",59.5483870967742,62,2.96248355798073,59.5,10,"null",-1
"dsRNA viruses",49.9032258064516,62,4.37095359449454,50,10,"null",-1
"ssDNA viruses",53.3709677419355,62,3.78189765432578,54,10,"null",-1
"ssRNA viruses",53.5161290322581,62,3.71854870105181,54,10,"null",-1
"dsDNA viruses, no RNA stage",58.7258064516129,62,2.98723708542657,58.5,1,"null",-1
"dsRNA viruses",54.241935483871,62,3.69618981429667,55,1,"null",-1
"ssDNA viruses",54.9516129032258,62,3.6459158347292,55.5,1,"null",-1
"ssRNA viruses",49.4354838709677,62,3.99434422998375,49,1,"null",-1
"dsDNA viruses, no RNA stage",59.5967741935484,62,3.2262228710598,60,2,"null",-1
"dsRNA viruses",53.3064516129032,62,3.49514281083221,53,2,"null",-1
"ssDNA viruses",53.9193548387097,62,3.45603955605386,54,2,"null",-1
"ssRNA viruses",48.0483870967742,62,3.77405908089159,49,2,"null",-1
"dsDNA viruses, no RNA stage",58.9838709677419,62,3.2466473778642,59,3,"null",-1
"dsRNA viruses",53.9354838709677,62,4.66543258845742,53.5,3,"null",-1
"ssDNA viruses",54.2258064516129,62,3.37987949556606,54.5,3,"null",-1
"ssRNA viruses",48.6612903225806,62,3.84513125567222,48,3,"null",-1
"dsDNA viruses, no RNA stage",59,62,3.34369972767479,59,4,"null",-1
"dsRNA viruses",53.1290322580645,62,3.89822940458173,53,4,"null",-1
"ssDNA viruses",53.9032258064516,62,4.02333226795147,54,4,"null",-1
"ssRNA viruses",48.7903225806452,62,3.91356236516542,49.5,4,"null",-1
"dsDNA viruses, no RNA stage",58.6451612903226,62,3.35396400751751,59,5,"null",-1
"dsRNA viruses",53.5,62,3.58846055855821,53.5,5,"null",-1
"ssDNA viruses",53.8225806451613,62,3.61474300629885,53,5,"null",-1
"ssRNA viruses",48.241935483871,62,4.2530046615901,49,5,"null",-1
"dsDNA viruses, no RNA stage",59.4193548387097,62,3.35617066672071,59,6,"null",-1
"dsRNA viruses",53.2741935483871,62,3.62671939930141,53.5,6,"null",-1
"ssDNA viruses",54.4516129032258,62,3.48146106202384,55,6,"null",-1
"ssRNA viruses",49.2258064516129,62,3.81721448024006,49.5,6,"null",-1
"dsDNA viruses, no RNA stage",59.3548387096774,62,3.54870918205548,59,7,"null",-1
